sqft,bedrooms,bathrooms,lot_size,age_years,garage_spaces,neighborhood_quality,distance_to_downtown_mi,has_pool,overall_condition,sale_price
1791,3,1.0,9101,7,3,3,1.1,0,3,316300
1112,1,1.0,2828,2,1,4,6.3,0,1,187200
2335,1,1.0,9657,28,2,3,15.6,0,3,311200
1006,4,2.5,17785,19,1,3,9.1,1,4,275200
1936,3,2.5,10972,17,1,3,2.8,0,4,327000
526,3,2.0,8770,1,2,3,6.6,0,5,173500
937,3,3.0,13301,3,1,5,10.0,0,4,244300
1928,5,4.5,9843,19,2,4,10.4,0,3,330300
2280,3,2.0,9838,5,2,2,8.8,0,3,328300
1911,3,2.0,4633,14,2,2,16.4,1,4,291900
1725,5,3.5,9935,16,2,3,16.3,1,4,297600
1604,4,3.0,13142,7,2,1,6.9,0,3,235900
839,2,1.5,5656,59,0,3,4.5,0,2,166900
1332,4,2.5,14698,37,2,2,8.2,0,5,254400
1501,3,1.5,8633,26,2,3,13.6,0,3,286600
2487,3,2.5,5449,2,0,1,0.5,0,3,318800
2023,2,2.0,12991,2,1,3,38.6,0,3,308500
654,2,1.0,7853,14,2,4,1.6,0,4,182000
2011,4,3.5,12038,4,2,3,5.1,0,3,307600
1550,3,2.0,7833,77,2,5,16.4,0,4,270700
1360,3,2.5,8761,3,1,4,2.0,1,3,307600
2198,4,3.5,10974,13,2,3,5.2,0,2,370900
2470,4,3.0,10164,9,1,1,1.1,0,3,320400
2405,2,1.5,1500,20,2,4,4.0,0,4,348100
1255,4,2.5,4515,3,2,5,1.6,0,5,282100
1599,2,1.5,12718,11,1,4,3.6,0,4,265000
2015,4,3.0,8471,6,2,2,3.7,0,5,340600
2434,4,2.5,6905,44,3,5,39.9,0,2,345900
1489,6,4.5,3566,1,2,2,40.0,0,2,218600
1679,2,1.0,4681,49,2,4,1.0,0,3,254600
1081,2,1.5,1500,36,2,5,10.4,0,3,258100
1022,3,2.0,8595,7,2,2,0.5,1,4,220600
2328,3,2.0,6606,31,0,5,0.5,1,4,396100
2682,3,2.0,5134,1,1,3,0.9,0,5,366300
1753,5,3.5,8728,68,1,5,26.9,0,3,299400
2452,3,2.5,10456,15,2,2,22.6,0,3,326800
2035,3,2.5,17373,7,2,5,1.7,0,3,382000
1381,4,2.5,2952,9,1,1,1.4,0,3,217400
2035,3,1.5,13638,1,2,4,2.2,0,3,356200
2800,4,2.5,12892,91,2,3,5.8,0,3,373700
1777,2,1.5,5884,1,2,3,6.7,0,3,284400
2817,3,2.0,9813,21,2,2,2.0,0,3,377200
500,1,1.0,7169,12,2,4,11.3,1,1,160900
2334,2,1.0,9743,59,1,2,3.0,0,3,307800
1857,5,3.5,15037,6,0,3,20.4,0,3,278000
1606,2,1.5,11422,15,3,2,8.6,0,1,213000
1860,3,2.5,11034,13,1,5,4.6,0,3,297200
508,3,2.0,7279,24,0,1,12.5,0,3,123600
1657,3,2.0,3064,1,2,2,13.6,0,3,260600
2032,5,3.5,8166,4,1,2,2.7,0,2,320900
2761,1,1.0,13826,5,2,3,3.3,0,3,389100
1463,4,2.5,2891,27,1,2,22.0,0,4,181300
1274,6,5.0,4780,4,2,3,1.4,0,3,256800
1474,4,2.0,9505,17,1,4,0.5,1,4,308900
2395,5,3.5,5061,5,1,4,4.8,0,3,379200
2014,2,1.5,5830,40,2,3,12.9,0,3,281400
1456,3,2.5,7306,57,2,1,11.8,0,4,224800
2134,3,3.5,3538,15,2,4,20.2,1,3,336000
1863,4,3.0,5104,9,3,2,6.1,0,4,301900
2430,6,4.0,11814,5,0,4,0.8,0,3,387400
1344,3,2.0,3771,1,2,2,7.1,1,3,254600
1587,4,2.0,2609,6,2,3,12.1,0,4,261700
1545,2,1.5,6480,21,3,3,0.8,0,2,232800
849,4,2.5,11928,15,0,4,1.5,0,3,212800
1992,3,2.5,8212,58,2,2,0.5,0,3,287100
1970,6,4.0,7142,10,2,3,7.2,0,3,348300
1803,4,3.0,9177,24,1,2,17.4,0,3,262700
1648,3,2.0,2017,13,2,4,8.9,0,3,276700
880,2,2.5,10979,14,0,5,32.2,0,4,187000
1527,2,1.5,10534,6,2,3,0.5,0,4,294000
1577,3,3.0,7363,12,3,3,18.7,0,3,253300
1279,3,2.5,13024,13,2,5,13.5,0,5,296500
1695,5,4.0,4490,25,2,3,3.0,0,3,322400
2063,4,3.0,13512,56,0,3,29.1,0,3,299100
3026,3,2.5,9618,8,3,3,2.7,1,4,416000
1913,2,1.0,7654,1,2,4,17.6,0,4,276100
1967,5,3.5,8921,14,0,2,17.0,1,4,303600
1752,4,3.5,8571,16,2,4,11.3,0,2,280500
553,2,1.5,13881,4,2,3,6.6,0,3,189500
1783,4,2.5,4693,29,1,1,1.0,0,4,260800
1839,3,2.0,5950,84,1,4,6.1,0,3,297900
3401,2,2.5,13145,58,0,3,3.5,1,4,443200
1675,3,3.0,6618,4,2,2,12.6,1,3,303100
1996,3,2.0,12602,42,2,3,11.4,0,4,365200
1777,2,2.0,15798,24,2,4,19.3,0,3,292100
1040,5,3.5,7393,12,2,4,0.5,0,3,266700
2543,4,2.0,11725,16,2,5,13.2,0,2,391600
2289,4,2.5,4385,38,2,4,22.3,0,4,335300
2314,3,3.0,12019,13,0,1,12.5,0,4,292100
1209,3,2.0,9798,9,2,3,1.1,0,1,207500
2712,4,3.0,10892,14,2,4,0.7,0,4,405700
889,3,2.0,6418,17,2,3,0.5,0,3,214000
2181,2,2.5,2356,4,2,3,7.9,0,2,297900
3224,3,3.0,11013,46,2,3,7.9,0,3,382000
1156,4,4.0,1500,22,3,3,34.7,1,2,213900
1432,3,2.0,7731,20,1,5,4.1,0,3,285400
1865,2,1.5,12765,2,2,3,3.2,0,3,329600
1473,4,2.0,9768,19,0,3,7.8,0,4,268100
792,3,3.0,16793,3,3,5,14.0,0,4,234800
1845,3,1.5,13100,2,1,3,22.1,0,3,240300
1110,2,1.5,6384,15,0,2,13.0,1,1,157700
2108,3,1.5,9109,10,1,3,4.5,1,5,335100
1202,4,2.5,8811,18,2,4,8.1,0,4,282900
2807,3,2.0,2671,2,1,4,15.5,0,1,363900
1291,3,2.0,5238,11,2,4,5.4,0,4,286200
1591,5,3.5,6757,4,2,4,2.0,0,3,288900
2329,5,3.5,1500,87,0,2,1.5,0,3,332800
1000,5,4.0,9190,16,1,4,0.5,0,3,269000
1948,3,1.5,8004,23,2,4,10.1,0,3,275700
2650,3,2.5,2308,8,2,2,0.9,0,4,386800
755,6,5.0,10617,2,2,2,2.2,0,3,220000
1920,4,2.5,11863,74,2,5,2.8,0,2,346200
1969,1,1.0,9908,7,1,4,6.6,0,5,311500
2308,2,1.5,7704,11,0,4,4.1,0,5,381900
996,3,3.0,11366,21,1,4,9.0,0,4,220700
942,5,4.0,11721,1,2,3,0.5,0,3,263000
2139,3,2.0,10230,33,3,3,1.1,0,2,339300
1993,3,2.5,5702,15,2,3,5.5,1,4,311300
1963,2,1.0,10106,7,0,1,3.3,0,2,284500
2025,4,3.5,13782,1,1,4,2.8,0,2,352100
1358,4,3.0,6613,4,1,3,0.6,0,3,272800
1951,3,2.0,17392,45,2,3,18.1,0,2,264400
1990,4,2.5,6897,23,0,3,9.4,0,1,316600
1336,6,4.0,9130,6,3,3,1.0,0,3,266000
3013,3,2.5,6310,1,2,2,0.5,1,2,420400
2108,3,3.0,9893,23,3,2,29.5,0,2,259000
1026,3,2.0,2031,17,2,2,9.1,0,2,163300
2227,4,3.0,6816,10,2,2,4.3,0,3,338800
1166,4,2.0,4632,9,2,5,9.7,0,4,289400
2312,4,2.5,9541,5,2,2,11.3,0,4,314200
2553,4,3.0,12978,22,2,2,12.1,0,3,373500
1267,3,2.0,11584,71,2,3,5.2,1,3,270100
2426,5,3.5,1500,4,2,3,4.5,0,1,326700
2068,3,2.0,17168,18,3,2,0.5,0,2,345100
2334,2,1.5,10181,11,2,4,20.9,0,3,312500
3033,4,3.0,5894,12,2,4,7.4,0,3,420000
1640,4,2.0,9629,6,2,2,1.8,0,4,290100
1310,3,1.0,9705,35,1,2,20.2,0,3,180200
1222,5,3.5,6333,13,0,5,19.7,1,3,276100
1270,5,4.0,9792,16,2,4,36.2,0,2,240700
1750,3,1.0,6570,7,2,4,16.6,0,4,290400
2022,6,4.5,7383,4,2,1,40.0,1,3,292600
1980,2,1.0,6255,2,2,3,2.2,1,4,319700
2338,3,3.0,3269,25,2,3,14.8,0,3,329700
1808,2,1.5,9583,4,2,2,13.9,1,4,304400
2745,5,4.0,11341,23,0,3,2.1,0,5,430600
1628,4,3.0,11060,10,2,3,0.8,0,5,329700
3568,2,1.0,12280,11,2,3,31.1,0,3,405800
2207,3,2.5,10297,13,1,4,2.8,1,3,374300
1243,4,3.0,6869,9,2,4,16.4,0,3,237400
1104,2,2.0,12359,2,2,3,0.5,0,5,233600
2114,5,5.0,3570,7,1,4,0.5,0,3,359400
1655,4,2.0,5397,22,1,2,5.0,0,2,226600
2264,3,3.0,5143,22,3,4,2.2,0,3,375400
2108,6,4.5,13320,7,2,2,9.4,0,2,343700
1753,3,2.5,12771,12,1,1,6.7,1,3,233600
1250,6,4.5,10949,4,1,3,0.6,0,3,261500
815,4,3.0,13288,5,2,3,1.4,0,3,199300
1510,4,2.5,5483,0,2,5,3.9,0,2,292300
2357,2,1.5,10394,45,2,3,1.6,1,5,377300
1939,5,3.0,8499,5,0,2,12.6,0,4,290500
990,3,2.5,12388,5,2,3,4.3,0,4,228000
1913,2,1.5,8539,7,2,3,0.8,1,3,338600
2050,1,1.0,7460,3,1,3,5.3,0,4,265100
1225,4,3.0,11164,20,2,4,0.8,0,3,296900
1900,3,3.0,12505,2,2,4,1.1,0,3,332500
1838,4,2.5,6327,3,2,4,2.2,1,2,326600
1057,5,4.0,8756,21,3,5,15.7,0,3,260600
2033,2,1.0,4766,8,1,2,20.7,0,2,275900
2165,4,3.5,1500,25,2,4,14.0,1,5,340100
2504,2,2.0,9802,16,2,3,3.3,0,1,340900
2485,5,4.5,11436,6,3,4,2.5,0,3,425600
905,4,3.0,10048,21,1,3,6.4,0,3,182600
1190,3,2.5,1500,2,2,5,10.2,0,3,242600
2135,4,3.0,7597,15,1,4,40.0,0,3,300700
2134,3,3.0,1500,11,2,5,1.1,0,2,334300
2135,3,2.0,14479,6,0,4,0.5,1,4,356600
4304,4,3.5,4656,19,2,5,9.5,0,3,559900
2171,3,2.0,14022,41,1,4,14.3,0,3,345000
2538,3,2.0,12783,120,1,3,15.0,0,4,348900
2420,3,2.5,5398,19,2,2,9.1,0,4,352900
2223,4,3.0,4469,10,2,3,24.6,0,4,304800
1595,3,2.0,10401,5,2,1,5.7,1,3,232200
2293,2,1.5,5623,6,2,3,19.6,0,3,346600
1298,4,4.0,9410,13,1,3,27.5,1,3,230900
1646,4,3.5,7069,9,2,3,15.0,0,4,263900
1485,2,2.0,1875,49,2,5,3.0,0,4,255500
1853,3,2.0,1500,9,0,5,1.7,0,2,325900
3305,2,1.0,9907,9,2,2,6.4,0,3,403400
586,3,2.5,6754,10,2,3,4.8,0,4,183000
2246,3,2.5,6788,36,2,3,16.8,0,3,312700
752,4,3.5,11783,21,2,3,0.8,0,3,233600
1493,4,2.5,13694,19,2,4,2.4,0,3,296700
2508,4,3.0,7910,8,0,3,11.1,0,3,395000
1842,3,1.5,7638,34,1,3,0.8,0,5,307200
1099,4,3.0,11001,1,2,4,3.1,0,3,285200
1335,3,2.5,3572,41,1,4,3.9,0,3,265000
2242,6,4.5,9893,14,0,2,7.8,0,2,323500
1325,4,3.5,11208,10,2,4,1.4,0,1,260900
1941,2,1.5,11721,14,2,3,15.8,0,3,297200
1830,4,3.0,1500,22,1,2,4.7,0,3,277000
1376,3,1.5,5955,0,2,1,19.9,0,3,185800
3194,4,3.0,5487,41,2,3,5.0,0,4,436200
2212,2,1.0,9400,12,1,3,2.6,1,4,364100
500,2,1.5,10923,8,2,2,1.2,0,3,191700
1921,5,3.0,14987,3,2,4,0.5,0,3,373500
1370,3,3.0,7020,12,2,4,6.1,0,5,323900
2354,4,3.5,7010,14,2,2,0.9,0,3,331500
1285,3,2.5,13599,10,0,1,4.0,0,4,232900
1725,4,4.0,10186,23,2,4,7.1,1,3,354000
2128,4,2.5,14071,11,2,1,2.6,0,4,302000
2363,3,3.0,10155,65,3,5,1.5,0,4,393200
1020,3,2.5,4372,18,2,3,11.9,0,4,244800
1583,3,2.0,3667,33,2,3,23.5,0,4,227900
1491,1,1.5,2794,2,1,2,0.8,1,5,232700
1375,3,1.5,11648,10,1,1,1.4,0,3,246500
2948,4,2.5,13754,8,1,2,25.8,0,3,393700
2063,5,3.5,16397,17,2,2,0.5,0,3,344000
980,5,3.5,12372,39,1,3,30.4,0,4,206300
2397,4,2.5,13651,2,2,2,0.5,0,4,358900
3179,4,3.5,6680,2,1,3,16.6,1,2,426900
2471,4,3.0,4374,38,3,3,2.9,0,2,381400
812,3,2.5,12400,5,1,2,22.3,0,4,180900
1485,5,3.5,10671,22,3,1,3.0,0,3,293100
2623,4,2.0,9430,16,3,1,8.5,0,3,325500
1340,4,3.0,10549,36,2,1,0.7,0,4,235800
2088,2,1.0,10293,3,2,4,2.2,0,3,331300
2304,3,2.0,14135,3,2,3,11.9,0,2,317700
1197,3,1.5,14180,16,2,4,6.0,0,2,246900
1761,5,4.5,11177,59,1,3,21.0,1,3,305000
500,3,2.5,12383,11,1,3,4.5,0,3,184500
1134,3,2.5,11056,8,2,3,16.3,0,3,264400
1636,6,5.0,7155,19,2,4,4.8,0,3,331200
989,2,1.0,12026,53,2,2,31.0,0,3,175800
2861,3,2.5,3422,36,1,2,25.7,0,2,326000
870,1,1.0,13216,108,2,3,3.2,1,2,225800
1514,4,3.0,4222,0,0,3,17.4,0,5,308800
1885,5,4.5,10143,2,0,3,15.1,0,3,318500
2737,3,2.5,5619,19,1,3,1.9,0,4,367200
867,5,4.0,11214,34,0,3,7.8,0,4,209700
2556,3,1.5,8864,7,1,3,0.6,0,3,369200
1807,5,3.5,2621,5,2,3,14.5,1,4,321600
1162,4,3.0,10683,31,0,4,1.5,0,2,256900
2100,4,3.0,6688,1,2,4,0.6,0,4,373700
1929,1,1.0,12525,9,1,3,4.1,0,3,294400
1410,6,5.0,9005,14,2,4,6.9,0,4,301100
1845,4,4.0,10582,16,2,4,15.4,0,2,320200
1550,3,2.5,5170,26,1,3,29.3,1,4,282300
1874,4,3.0,6643,9,2,3,4.6,0,2,318100
2230,3,2.0,7165,19,2,4,0.5,1,4,383600
2831,5,3.5,12427,18,2,3,11.1,0,3,425600
995,2,1.5,15710,16,1,1,6.7,0,4,179800
3186,4,3.0,5779,20,3,4,4.8,0,3,442800
531,3,1.5,13307,6,2,1,3.0,0,3,133400
1701,2,1.5,1500,2,1,4,5.6,1,3,289000
2182,3,2.0,4223,3,2,4,3.3,0,5,355600
1983,1,1.0,5165,5,2,5,11.3,0,1,324200
1395,3,2.0,3590,14,2,1,6.3,0,5,217100
1665,3,2.0,2666,37,2,3,16.8,0,3,235400
1480,4,4.0,10652,24,2,3,6.3,0,4,322200
1417,3,2.5,8144,31,1,3,2.2,0,3,244100
2352,3,1.5,10518,9,2,1,15.2,0,3,301800
2032,4,3.0,11762,10,2,3,6.5,0,4,347500
1350,1,1.0,10062,10,1,3,1.9,0,3,216700
2385,5,4.5,11631,4,1,2,7.8,0,3,376600
2000,5,3.5,8722,1,1,3,3.5,1,1,336400
2328,4,3.0,4252,18,3,4,14.9,0,2,375100
2209,4,3.5,13231,91,1,4,4.8,1,3,358000
1261,5,3.0,6644,4,2,5,10.4,0,4,296900
1436,2,1.0,5258,1,0,3,0.8,0,3,241200
2286,2,1.0,8288,30,2,5,4.0,0,2,356700
2197,3,3.0,5349,6,2,4,32.7,0,3,291900
1786,4,2.0,7330,35,3,2,13.2,1,3,280400
1876,1,1.0,10376,24,2,2,1.4,0,3,246100
2630,4,3.0,10393,58,2,3,2.6,0,4,396300
1415,6,5.0,5409,11,2,3,3.2,0,4,255700
2156,5,4.5,7049,22,0,3,8.4,0,2,288000
1669,3,2.0,13297,13,1,3,11.3,0,4,299600
1659,2,1.5,10986,20,2,4,11.1,0,3,275200
2514,4,3.5,17300,12,3,3,5.7,0,4,386200
2337,4,2.0,13721,4,2,2,13.3,0,2,346800
2329,2,1.5,13577,14,1,4,4.6,0,4,372300
2649,2,1.5,3449,15,1,3,1.1,0,3,371200
1814,5,4.0,12055,33,1,5,6.6,0,3,342200
2243,4,2.5,8788,27,3,2,24.3,0,1,333800
1598,4,3.0,6796,22,2,5,12.6,0,2,285600
2011,5,2.5,9672,2,2,1,6.9,0,2,315200
1715,4,2.5,12781,26,2,2,8.3,0,3,273400
1863,3,2.5,11003,14,2,1,21.3,0,2,211600
2187,3,2.0,5486,45,2,4,4.5,0,4,353900
1268,3,2.5,11970,50,1,4,3.2,0,1,246800
3160,3,2.5,6450,1,2,3,30.3,0,3,376600
1146,4,3.0,9867,34,0,5,15.9,1,2,236900
1011,4,3.0,7787,1,1,3,3.1,1,5,257900
2553,5,3.5,8125,9,2,3,5.0,0,5,407300
2315,3,2.0,12065,16,2,4,4.3,0,3,321600
2206,4,3.5,4839,3,2,2,1.3,1,3,359400
2208,4,3.0,16781,27,2,3,25.3,0,1,302000
1792,4,2.5,1716,0,2,5,4.1,0,5,323400
1217,4,3.0,6609,4,2,5,16.7,0,3,286700
1849,3,2.5,10481,17,2,5,1.7,0,1,324400
1360,3,1.0,11337,25,2,5,6.4,0,3,303100
2434,2,2.0,8598,50,2,2,0.5,1,2,339900
1704,3,2.0,8770,24,1,4,11.6,0,3,285800
1263,3,2.5,10642,22,1,3,7.0,0,4,244600
1591,4,3.5,8076,10,2,5,7.9,0,3,328000
2068,6,4.0,14573,0,1,3,0.5,0,3,352200
1434,4,2.5,12357,3,2,3,1.9,0,2,255500
1266,4,3.0,12491,15,1,3,0.6,0,3,269900
1958,3,2.0,5135,22,1,3,2.7,0,2,284900
1959,4,4.0,8682,11,2,1,7.9,1,4,307600
1470,2,1.0,7798,26,3,4,6.7,0,2,278400
1494,3,2.0,4978,15,1,4,7.6,0,3,264100
1951,3,2.5,10441,2,2,2,6.4,0,3,298400
859,3,1.5,6849,4,2,4,2.6,0,3,210800
885,1,1.0,11622,37,0,3,2.2,0,3,191100
1333,2,1.5,4719,26,2,3,1.2,1,3,253600
1661,3,2.0,15876,45,2,2,15.1,1,3,284400
2002,6,4.5,5415,3,2,4,7.7,0,3,343000
2759,3,2.0,9877,93,2,4,1.7,0,3,392100
2357,3,1.5,12167,5,1,3,1.6,0,3,365100
1696,2,1.5,6717,0,0,3,16.5,0,3,256900
1788,4,4.0,12410,119,3,1,10.9,0,4,263200
1148,3,2.5,4083,7,2,3,8.6,1,1,241200
1788,3,2.5,14808,22,2,2,4.2,0,3,255900
1612,3,2.5,9057,4,2,2,2.4,0,2,272500
2010,1,1.0,6614,17,1,4,31.1,0,2,242600
1262,1,1.5,7803,47,2,5,12.8,0,3,282300
2138,3,2.5,12236,8,1,3,2.9,0,4,314600
2796,1,1.5,6662,22,1,2,15.0,0,4,363800
1729,2,1.0,6003,4,1,3,11.4,0,2,250700
2061,3,3.0,8114,20,2,4,2.8,0,3,334900
2249,4,3.5,4292,8,1,4,4.4,0,3,359600
1539,4,3.5,16282,5,2,4,1.6,0,2,322800
1946,3,2.5,6734,8,3,3,0.9,0,4,311300
1808,3,2.0,12326,4,2,4,10.3,1,4,321800
1863,5,4.5,9838,46,2,2,2.5,0,5,333300
1298,3,2.5,5062,10,2,3,13.7,0,1,183700
1816,2,1.0,8976,6,1,3,40.0,0,3,229100
2124,4,2.5,12136,12,2,3,0.6,0,4,406900
2743,2,1.5,8247,8,2,5,5.1,0,4,403600
2424,3,2.5,13772,27,3,4,13.0,0,4,404500
3200,3,2.0,13086,71,3,2,12.4,0,2,384900
1301,5,4.5,12676,12,2,2,11.4,0,3,260700
2367,3,1.5,7161,39,2,3,3.4,0,3,349100
1919,4,3.0,4681,17,2,2,4.8,0,1,291100
3223,6,3.5,6546,3,2,3,7.2,0,3,444400
1275,2,2.0,9785,23,2,5,29.2,0,3,280700
1254,3,2.0,11183,14,2,5,3.2,0,2,264100
1410,3,2.5,1500,21,3,4,20.5,0,3,253000
500,3,2.0,8968,44,2,4,2.5,0,3,189100
1458,3,3.0,9632,12,2,3,36.1,0,3,211200
1307,5,4.5,7890,46,2,2,8.9,1,4,255400
1898,4,3.5,14165,28,3,3,5.0,1,3,342300
2022,4,3.0,10687,13,1,3,7.6,0,3,312000
3020,3,2.5,14241,18,2,4,2.5,0,5,503400
2418,4,2.5,8136,8,2,2,2.6,0,5,347900
1425,6,5.0,12750,82,1,3,1.0,0,1,290700
1216,4,4.0,15540,22,2,3,1.0,0,4,293200
2120,1,1.5,14247,1,2,5,3.4,0,2,354700
942,4,2.5,4631,8,2,3,11.5,0,1,172200
2990,2,1.5,7985,20,1,4,7.5,0,3,391100
2567,3,1.5,7619,1,2,4,0.9,0,3,379200
1495,2,2.0,10957,0,2,2,15.3,0,4,215300
686,4,3.0,11745,12,2,3,7.4,0,4,191800
2680,4,2.0,5644,8,1,4,25.9,0,5,356200
1726,2,1.0,9271,12,3,3,8.9,0,4,311000
2605,3,2.0,1500,6,2,5,1.5,0,3,410400
764,3,2.0,14768,4,2,2,5.1,0,4,213900
1410,3,1.5,6951,23,2,1,8.4,0,5,235800
1803,2,1.5,9223,14,2,4,0.5,0,4,322000
1831,3,2.5,7761,4,2,4,0.5,0,4,359400
1507,4,3.0,13584,8,2,5,1.1,0,5,334100
2205,2,1.0,1500,18,2,4,2.3,0,2,320800
1106,2,2.0,8934,1,2,5,4.5,0,4,286800
1707,3,3.0,8577,3,2,4,5.3,0,4,296600
1878,5,3.5,7185,2,1,4,1.2,0,5,410800
2134,4,2.5,15905,33,2,3,9.0,0,3,336300
2263,4,3.0,5451,28,1,3,7.3,0,3,332200
1069,3,2.0,12087,28,1,5,2.8,1,4,302700
803,4,3.0,10425,25,3,3,0.5,0,3,236200
2630,1,1.0,14046,22,2,3,0.6,0,3,370100
2016,4,2.0,6331,13,2,3,4.0,0,3,317500
1313,5,4.5,6068,21,2,3,1.3,0,3,241300
2808,4,3.0,13384,1,3,3,3.8,0,3,409400
1875,5,3.5,10701,19,2,1,7.9,0,3,290000
2567,4,3.0,2820,30,2,4,6.3,0,3,386000
1844,2,1.5,6843,14,2,3,2.1,0,3,311700
3139,5,3.0,10546,9,3,3,3.4,0,3,445400
2941,2,2.0,12351,6,2,2,7.6,1,2,363000
1638,3,2.5,6283,21,2,1,15.8,0,1,226300
2432,2,1.5,1500,24,1,2,11.2,0,2,315600
2219,1,1.0,11093,41,1,4,6.4,1,3,355200
2690,3,1.5,4119,8,1,1,3.6,1,4,346400
1173,3,2.5,1500,29,1,5,3.6,0,2,261500
2246,3,2.0,1500,16,2,2,16.9,0,2,342100
2488,4,3.5,12256,43,0,2,0.5,0,4,359600
657,1,1.0,9514,15,0,2,35.4,0,3,81400
1031,2,1.5,8097,15,1,1,8.7,1,5,184400
500,4,2.5,14556,17,1,4,9.1,0,4,214300
1625,3,2.5,11549,28,1,4,0.5,0,3,269800
2266,4,3.0,15465,67,2,3,7.4,1,3,364200
2777,4,2.5,3429,2,2,2,5.3,0,3,376500
1848,4,2.5,8862,1,0,2,0.9,0,2,304600
2859,4,3.0,2533,55,2,3,2.6,1,2,415100
903,3,2.0,8082,15,2,5,17.7,0,2,233600
693,4,3.5,8006,19,1,2,6.4,0,4,143400
1764,3,2.0,11506,13,2,4,4.3,0,3,330300
2050,3,1.0,9182,2,2,3,0.6,0,1,315800
1779,4,3.0,11494,29,2,2,10.0,0,4,292200
500,3,1.5,11814,28,2,3,9.7,0,3,131600
1742,4,2.0,17620,7,0,1,7.6,1,3,258200
952,4,2.5,7739,7,3,4,5.7,0,3,222100
2235,5,4.0,5236,36,2,2,4.6,0,3,290200
2038,5,4.5,9984,2,3,4,7.2,0,5,385000
1189,3,2.5,5791,43,0,1,2.1,0,2,159700
1466,3,2.0,14928,6,3,5,22.7,0,3,342700
1112,4,3.0,7867,18,2,2,7.1,0,3,211700
1759,3,2.0,6738,55,2,4,3.0,0,3,322000
2421,4,2.5,7115,23,0,4,4.8,0,3,333000
1159,4,2.5,11874,11,2,5,13.1,1,4,283900
2128,4,2.0,8369,23,3,3,1.4,0,5,355000
1455,3,2.0,6433,8,2,4,2.8,0,3,262400
1285,2,1.5,15661,6,2,3,9.1,0,3,239200
1730,3,2.0,5575,114,3,2,3.0,1,3,271500
1127,2,1.5,9142,28,2,3,12.6,0,3,205300
1440,5,3.5,11609,21,2,2,1.1,0,3,300000
1021,3,2.5,2475,9,2,5,11.5,0,2,238400
3077,2,1.0,10921,1,3,1,0.6,0,3,396000
1823,1,1.0,4780,1,0,3,0.5,0,3,282000
1345,4,2.5,12291,16,2,3,18.3,0,4,267100
1939,4,2.5,5149,29,2,3,7.0,0,4,308500
1727,3,1.5,11771,15,2,4,3.5,1,2,305200
1656,2,1.0,13423,37,2,2,2.1,0,2,251500
2199,3,2.5,12446,1,3,3,7.7,0,5,386500
2292,3,2.5,10005,9,3,2,5.7,0,3,353600
1455,4,3.5,8075,5,0,5,38.2,0,4,265500
1426,4,3.5,6694,12,2,4,32.7,0,2,257400
1621,3,1.5,14884,2,0,5,8.1,0,3,306300
500,3,2.0,6202,62,1,1,4.7,0,3,116800
815,6,4.0,4852,5,2,2,5.4,0,4,203000
2688,3,3.0,11661,51,3,2,9.2,0,2,352000
2869,4,2.5,5815,11,2,1,0.9,0,3,390800
1638,2,2.0,5200,85,1,2,3.2,0,3,239100
2175,3,2.5,3226,16,0,4,0.6,0,4,344700
2002,1,1.5,7068,53,2,2,0.6,0,5,269400
3801,3,2.0,8669,0,2,3,1.7,0,5,504600
